1,CTLR ADDRESS,1,0,LAO
2,APPLICATION,1,0,LAO
4,ROOM TEMP,0.25,48,LAI
7,REHEAT START,0.4,0,LAO
8,REHEAT END,0.4,0,LAO
12,BUTTON ENA,1,0,LDO
13,ROOM STPT,0.25,48,LAI
15,HOOD SIG AI3,0.04,0,LAI
16,VENT ALM DEL,1,0,LAO
17,VENT ALM ENA,1,0,LDO
18,OCC SWIT ENA,1,0,LDO
19,OCC BUTTON,1,0,LDI
21,OCC DISPLAY,1,0,LDO
22,VOL DIF ALM,1,0,LDO
23,NET ALM CMD,1,0,LDO
24,OCC SWIT DI2,1,0,LDI
25,BUTTON CMD,1,0,LDO
26,SUP2 P GAIN,0.001,0,LAO
27,ALM SWIT DI4,1,0,LDI
28,ALM SWIT ENA,1,0,LDO
29,NET OCC CMD,1,0,LDO
30,SUP2 AIR VOL,4,0,LAI
31,SUP1 MAX,4,0,LAO
33,SUP2 MAX,4,0,LAO
35,SUP1 AIR VOL,4,0,LAI
36,SUP1 COEF,0.01,0,LAO
37,DIF ALM ENA,1,0,LDO
38,DIF ALM LVL,4,-8000,LAO
39,DIF ALM DEL,1,0,LAO
40,FAIL MODE,1,0,LDO
41,SUP1 FIL DO1,1,0,LDO
42,SUP1 BLD DO2,1,0,LDO
43,SUP2 FIL DO3,1,0,LDO
44,SUP2 BLD DO4,1,0,LDO
45,OCC.UOC DO5,1,0,LDO
46,SPARE DO6,1,0,LDO
47,AUTOZERO DO7,1,0,LDO
48,REHEAT AO1,0.01,0,LAO
49,VALVE CMD,0.4,0,LAO
50,ALARM DO8,1,0,LDO
51,HOOD VOL,4,0,LAI
52,MAX HOOD VOL,4,0,LAO
53,TOTL EXHAUST,4,0,LAI
54,SUP2 COEF,0.01,0,LAO
55,HOOD OCC VOL,4,0,LAO
56,HOOD UOC VOL,4,0,LAO
57,VALVE CLOSED,0.01,0,LAO
58,VALVE OPEN,0.01,0,LAO
59,SUP2 DIR,1,0,LDO
60,SUP2 AREA,0.025,0,LAO
61,OTHER SUP,4,0,LAO
62,SUP1 DIR,1,0,LDO
63,ROOM P GAIN,0.25,0,LAO
64,ROOM I GAIN,0.001,0,LAO
65,ROOM D GAIN,2,0,LAO
66,ROOM BIAS,0.4,0,LAO
69,TOTL SUPPLY,4,0,LAI
70,SUP1 P GAIN,0.001,0,LAO
73,DO DIR.REV,1,0,LAO
78,CTL TEMP,0.25,48,LAO
79,TEMP LOOPOUT,0.4,0,LAO
81,SUP1 DPR CMD,1,-100,LAO
82,SUP2 DPR CMD,1,-100,LAO
83,VOL DIFFRNC,4,-8000,LAI
85,SUP2 STPT,4,0,LAO
88,VOL DIF STPT,4,-8000,LAO
89,OTHER EXH,4,0,LAO
90,OC V ALM LVL,4,0,LAO
91,UC V ALM LVL,4,0,LAO
92,VENT ALM,1,0,LDO
93,SUP1 STPT,4,0,LAO
94,CAL AIR,1,0,LDO
95,CAL SETUP,1,0,LAO
96,CAL TIMER,1,0,LAO
97,SUP1 AREA,0.025,0,LAO
98,LOOP TIME,1,0,LAO
99,ERROR STATUS,1,0,LAO
